grupo_final;pacientes_unicos
4A1ZXQZ;1027
rare_sec_0;1003
10E0XZZ;722
30233N1;641
4A023N7;627
B2111ZZ;549
10907ZC;441
3E033VJ;413
0DJ08ZZ;365
3E0S3BZ;350
0W8NXZZ;349
0DB68ZX;346
4A1HXFZ;332
5A09357;322
3E0G76Z;317
0FT44ZZ;296
B24BZZ4;238
0DB98ZX;229
10D00Z1;197
027034Z;197
0DJD8ZZ;196
0T9B70Z;183
0DH67UZ;179
039Y3ZZ;170
0DB64Z3;169
5A1221Z;168
0DB;157
3E0436Z;157
5A2204Z;148
3E0;139
05HY33Z;128
3E04305;127
0DTJ4ZZ;125
3E0F7GC;121
0PS;121
0WQNXZZ;113
B2151ZZ;111
0SB20ZZ;110
0SRC0J9;110
0D164ZA;109
0QS;107
047;107
041;105
02HK3JZ;105
5A1955Z;102
0SR;101
07B;101
3E03329;95
0JH606Z;95
05HM33Z;94
BF030ZZ;94
0HB;93
0W9;90
0HR;89
0GTK0ZZ;89
0SRD0J9;87
0SG;85
02H63JZ;84
B211YZZ;84
01NB0ZZ;81
F07Z9ZZ;81
0B9;80
0UT74ZZ;80
0BB;77
00NY0ZZ;76
rare_sec_B;75
03HB33Z;74
0DB58ZX;73
0TBB8ZZ;73
5A1935Z;73
4A023FZ;72
30233R1;72
0WUF4JZ;72
0UTC4ZZ;71
0D9670Z;70
0QP;70
0DBN8ZX;69
0JB;69
05H533Z;69
02100Z9;69
0UT94ZZ;68
30243N1;68
02583ZZ;68
02HV33Z;67
3C1ZX8Z;67
B340ZZZ;67
0Y6;66
5A09457;65
5A1945Z;64
0SR903A;64
0QB;62
0QB00ZZ;62
10D07Z3;62
0VB08ZZ;62
0SB40ZZ;61
0RG10A0;59
0UB;58
0W9G3ZZ;58
B245ZZ4;58
0FC98ZZ;57
0SRB03A;56
4B02XSZ;54
0DBB8ZX;53
0DT;52
0BJ08ZZ;51
0UTC7ZZ;51
0W993ZZ;51
5A1D60Z;51
0DB48ZX;49
0QSJ04Z;49
03B00ZZ;49
0RB30ZZ;48
099R4ZZ;48
0UT9FZZ;48
0FB;46
07T;45
0LQ;45
3E0G36Z;45
0D1;45
0YUA4JZ;44
02RF08Z;44
021;44
0BH17EZ;43
0W9B30Z;43
0DBK8ZZ;42
302;42
099Q4ZZ;42
10D00Z0;42
0HBU0ZZ;42
0TB;41
0UT24ZZ;41
0W9B3ZZ;41
0UT7FZZ;41
09QM0ZZ;41
3E1;41
0DBN8ZZ;40
0T9;40
5A1D00Z;39
5A09557;39
0SP;39
05H633Z;39
0MUP47Z;39
8E0ZXY6;39
0CB;39
009U3ZX;39
0J9;38
02110Z9;38
0VT08ZZ;38
3E0336Z;37
0T778DZ;37
0QBN0ZZ;37
B21;36
0FB03ZX;36
0DQ;36
0LB;36
0D9;36
03HC33Z;35
BW201ZZ;35
0KQM0ZZ;35
0PSJ04Z;35
0HQ1XZZ;35
0DBL8ZZ;35
0UT;34
05HN33Z;34
0WUF0JZ;34
027035Z;34
3E063KZ;34
0W3P8ZZ;34
09B;34
0TBB8ZX;33
0F798DZ;33
02HK3KZ;33
0MB;33
rare_sec_D;33
0F9;32
BF4CZZZ;32
0JH608Z;32
0HBT0ZZ;32
BF1;32
009;32
0T9780Z;32
0W9930Z;32
0DBE8ZX;32
06BQ0ZZ;31
0HQ;31
0JH60WZ;31
0DBH8ZZ;31
0RR;31
02H;30
0DV44ZZ;30
09Q;30
02H63KZ;30
0QS736Z;30
00B;30
0T768DZ;30
09BV4ZZ;30
rare_sec_H;30
0DH;30
06BY0ZC;30
04V;30
0LBR0ZZ;29
0TT;29
0DB78ZX;29
0JB80ZZ;29
0QSG04Z;29
B246ZZ4;29
095L7ZZ;29
0MUN47Z;29
07DR3ZZ;29
0DBP8ZX;29
BF101ZZ;29
4A0;28
0H9;28
027135Z;28
0DN;28
rare_sec_2;28
0Q8;27
3E043XZ;27
0QBP0ZZ;27
0VT00ZZ;27
0PSH04Z;27
07B60ZZ;27
07DR3ZX;27
0DH68UZ;26
2W3;26
0QSH04Z;26
0D5;26
B24;26
04C;26
0W3;26
5A0;26
5A12012;26
09QM4ZZ;26
4B02XTZ;25
BF0C1ZZ;25
0DH63UZ;25
0QS636Z;25
0RG;25
0QSK04Z;25
0DBK8ZX;25
8E0WXBG;25
0T9680Z;25
3E0430M;24
0CDWXZ1;24
0T9B7ZZ;24
02703ZZ;24
0YU50JZ;24
0WQF0ZZ;24
09BU4ZZ;24
0RG20A0;24
0DTN4ZZ;23
0T7;23
02R;23
3E1H78Z;23
0TP;23
0DBM8ZZ;23
0PB;23
0SR902A;23
0DBL8ZX;23
3E0S33Z;23
06BP0ZZ;23
0HQ9XZZ;22
03CK0ZZ;22
0WP;22
099T4ZZ;22
0DB38ZX;22
0VB;22
0DBP8ZZ;22
04HK33Z;22
0NB;22
0JPT0PZ;22
0JQC0ZZ;22
0CDXXZ1;21
0VT30ZZ;21
04100JK;21
05H;21
0DBM8ZX;21
099;21
0B968ZX;21
rare_sec_C;21
BW241ZZ;21
0HQ0XZZ;21
0JH;21
009U3ZZ;21
031;21
0DBH8ZX;20
0TP98DZ;20
0D7;20
3E03305;20
0TC;20
0DC;20
B3101ZZ;20
0BT;20
0GB;20
0MQ;20
B41;20
07TC0ZZ;20
03HY33Z;20
02100Z8;20
0CT;20
099R0ZZ;20
0J0;20
0JH60XZ;19
0T9B80Z;19
03CL0ZZ;19
0DB68ZZ;19
0B9B8ZX;19
07B60ZX;19
0SR904A;19
0CTQXZZ;19
021009W;19
0UT2FZZ;19
0DJ;19
0YU60JZ;19
07B50ZX;18
027;18
02110A9;18
099S4ZZ;18
0JQ;18
0LBQ0ZZ;18
0MU;18
6A800ZZ;18
B31;18
02HV03Z;18
0SB00ZZ;17
0DP64CZ;17
rare_sec_1;17
02C03ZZ;17
0SRB02A;17
0SBD4ZZ;17
0TJB8ZZ;17
03H;17
0QS706Z;17
BF031ZZ;16
0F7D8DZ;16
8E09XBH;16
6A600ZZ;16
0VT04ZZ;16
BF11YZZ;16
025;16
0FJB8ZZ;16
06H;16
0TC78ZZ;16
09SM0ZZ;16
0FT40ZZ;16
0TTB8ZZ;16
099Q0ZZ;15
0DTF4ZZ;15
6A601ZZ;15
0YU64JZ;15
0RRJ00Z;15
0GT;15
0SB;15
0D1B0Z4;15
0F998ZZ;15
0WQFXZ2;15
07DR0ZZ;15
09SM4ZZ;15
BF47ZZZ;15
0Q8N0ZZ;15
0F7;15
0SR9029;15
03C;14
F07Z9FZ;14
CP1Z1ZZ;14
10D17ZZ;14
30233K1;14
05PY33Z;14
3E0P7GC;14
B2051ZZ;14
047K3DZ;14
8E0;14
047C3DZ;14
047D3DZ;14
0HTT0ZZ;14
0DHA8UZ;14
0MQN4ZZ;14
0CTPXZZ;14
0TUD0JZ;14
0TP980Z;14
0DH64UZ;14
0SBC4ZZ;14
0DP;14
0DQB0ZZ;14
0RT30ZZ;14
0UT54ZZ;14
0GTH0ZZ;14
0SRS019;13
00N;13
